"mes","temperatura","pluviometrico","evaPotencial","armazenHidrico","cidade"
"Out",26.4,15,139,0,"Paulo Afonso"
"Nov",27.7,18,162,0,"Paulo Afonso"
"Dez",27.3,47,162,0,"Paulo Afonso"
"Jan",26.5,111,142,66,"Remanso"
"Fev",26.6,121,133,58,"Remanso"
"Mar",26.7,145,147,57,"Remanso"
"Abr",25.2,322,114,100,"Remanso"
"Mai",25.2,325,116,100,"Remanso"
"Jun",24.3,351,98,100,"Remanso"
"Jul",23.6,204,91,100,"Remanso"
"Ago",23.7,136,94,100,"Remanso"
"Set",24.2,112,99,100,"Remanso"
"Out",25,122,117,100,"Remanso"
"Nov",25.5,118,123,95,"Remanso"
"Dez",26,132,138,90,"Remanso"
"Jan",26.5,111,145,62,"Salvador"
"Fev",26.6,121,135,54,"Salvador"
"Mar",26.7,145,147,53,"Salvador"
"Abr",25.2,322,114,100,"Salvador"
"Mai",25.2,325,114,100,"Salvador"
"Jun",24.3,351,96,100,"Salvador"
"Jul",23.6,204,90,100,"Salvador"
"Ago",23.7,136,92,100,"Salvador"
"Set",24.2,112,99,100,"Salvador"
"Out",25,122,117,100,"Salvador"
"Nov",25.5,118,124,94,"Salvador"
"Dez",26,132,140,87,"Salvador"
"Jan",24.6,161,115,100,"Santa Rita de Cássia"
"Fev",24.4,140,104,100,"Santa Rita de Cássia"
"Mar",24.4,155,112,100,"Santa Rita de Cássia"
"Abr",24.2,101,103,98,"Santa Rita de Cássia"
"Mai",23.7,20,98,45,"Santa Rita de Cássia"
"Jun",22.1,4,75,22,"Santa Rita de Cássia"
"Jul",21.1,1,68,11,"Santa Rita de Cássia"
"Ago",23,1,89,5,"Santa Rita de Cássia"
"Set",25.1,19,114,2,"Santa Rita de Cássia"
"Out",26.1,70,136,1,"Santa Rita de Cássia"
"Nov",25.3,160,123,38,"Santa Rita de Cássia"
"Dez",24.7,175,120,93,"Santa Rita de Cássia"
"Jan",24.9,102,120,0,"Senhor do Bonfim"
"Fev",24.6,118,107,11,"Senhor do Bonfim"
"Mar",24.7,109,118,10,"Senhor do Bonfim"
"Abr",23.7,96,99,10,"Senhor do Bonfim"
"Mai",23.1,64,93,8,"Senhor do Bonfim"
"Jun",21.5,63,72,7,"Senhor do Bonfim"
"Jul",20.7,54,66,6,"Senhor do Bonfim"
"Ago",21.5,34,75,4,"Senhor do Bonfim"
"Set",22.6,34,85,2,"Senhor do Bonfim"
"Out",24.2,39,110,1,"Senhor do Bonfim"
"Nov",25.1,54,121,1,"Senhor do Bonfim"
"Dez",25.2,83,128,0,"Senhor do Bonfim"
"Jan",25.4,82,128,5,"Serrinha"
"Fev",25.3,80,116,3,"Serrinha"
"Mar",25.1,103,123,3,"Serrinha"
"Abr",24.3,84,106,2,"Serrinha"
"Mai",23.1,109,92,19,"Serrinha"
"Jun",21.8,95,74,41,"Serrinha"
"Jul",21,80,68,53,"Serrinha"
"Ago",21.2,55,71,45,"Serrinha"
"Set",22.3,38,82,29,"Serrinha"
"Out",23.8,50,104,17,"Serrinha"
"Nov",24.8,65,117,10,"Serrinha"
"Dez",25.3,102,130,8,"Serrinha"
"Jan",21.5,109,93,90,"Vitória da Conquista"
"Fev",21.5,64,85,73,"Vitória da Conquista"
"Mar",21.8,87,94,68,"Vitória da Conquista"
"Abr",20.7,58,78,56,"Vitória da Conquista"
"Mai",19.8,19,71,33,"Vitória da Conquista"
"Jun",18,21,54,24,"Vitória da Conquista"
"Jul",17.8,18,54,17,"Vitória da Conquista"
"Ago",18.6,18,61,11,"Vitória da Conquista"
"Set",19.5,30,68,7,"Vitória da Conquista"
"Out",20.7,56,83,6,"Vitória da Conquista"
"Nov",21.2,124,87,42,"Vitória da Conquista"
"Dez",21.6,128,96,74,"Vitória da Conquista"
