Mês;T (°C) ;P (mm);ETP (mm);ARM (mm);ETR (mm);DEF (mm);EXC (mm);Cidade
 Mai ;23,3;48;93;0;48;45;0;Jacobina
 Jun ;22,1;53;76;0;53;23;0;Jacobina
 Jul ;21,2;41;69;0;41;28;0;Jacobina
 Ago ;21,8;40;76;0;40;36;0;Jacobina
 Set ;23,2;31;90;0;31;59;0;Jacobina
 Out ;24,7;32;116;0;32;84;0;Jacobina
 Nov ;25,3;86;123;0;86;37;0;Jacobina
 Dez ;24,9;116;123;0;116;7;0;Jacobina
Jan ;24,8;156;120;100;120;0;36;Lençóis
 Fev ;25;151;113;100;113;0;38;Lençóis
 Mar ;25,1;160;124;100;124;0;36;Lençóis
 Abr ;24,1;150;103;100;103;0;47;Lençóis
 Mai ;22,9;78;90;89;89;1;0;Lençóis
 Jun ;21,6;82;72;99;72;0;0;Lençóis
 Jul ;20,9;65;68;96;67;0;0;Lençóis
 Ago ;21,7;46;76;71;71;5;0;Lençóis
 Set ;22,7;49;86;49;71;15;0;Lençóis
 Out ;23,8;96;105;45;100;5;0;Lençóis
 Nov ;24,3;156;111;90;111;0;0;Lençóis
 Dez ;24,4;172;118;100;118;0;44;Lençóis
Jan ;25,7;37;132;0;37;96;0;Monte Santo
 Fev ;24,3;45;105;0;45;60;0;Monte Santo
 Mar ;24,2;64;113;0;64;48;0;Monte Santo
 Abr ;23,3;69;96;0;69;27;0;Monte Santo
 Mai ;21,5;74;78;0;74;5;0;Monte Santo
 Jun ;20,4;57;65;0;57;8;0;Monte Santo
 Jul ;19,8;42;62;0;42;19;0;Monte Santo
 Ago ;20;37;64;0;37;28;0;Monte Santo
 Set ;21,5;19;77;0;19;58;0;Monte Santo
 Out ;23,2;27;100;0;27;73;0;Monte Santo
 Nov ;24,2;49;111;0;49;61;0;Monte Santo
 Dez ;24;78;114;0;78;36;0;Monte Santo
Jan ;21,1;93;89;68;89;0;0;Morro do Chapéu
 Fev ;21,2;86;82;71;82;0;0;Morro do Chapéu
 Mar ;21;93;88;77;88;0;0;Morro do Chapéu
 Abr ;20,6;68;79;69;76;3;0;Morro do Chapéu
 Mai ;19,2;33;69;48;54;15;0;Morro do Chapéu
 Jun ;17,8;39;56;40;46;9;0;Morro do Chapéu
 Jul ;17,2;27;53;31;36;17;0;Morro do Chapéu
 Ago ;17,5;21;56;22;30;26;0;Morro do Chapéu
 Set ;18,9;19;66;14;27;38;0;Morro do Chapéu
 Out ;20,2;43;80;9;47;33;0;Morro do Chapéu
 Nov ;20,7;88;84;14;84;0;0;Morro do Chapéu
 Dez ;20,9;139;89;63;89;0;0;Morro do Chapéu
Jan ;27,4;61;159;0;61;98;0;Paulo Afonso
 Fev ;27,2;55;143;0;55;88;0;Paulo Afonso
 Mar ;27,1;93;154;0;93;61;0;Paulo Afonso
 Abr ;25,5;81;118;0;81;37;0;Paulo Afonso
 Mai ;24,2;55;99;0;55;44;0;Paulo Afonso
 Jun ;23,6;61;87;0;61;26;0;Paulo Afonso
 Jul ;23;53;82;0;53;29;0;Paulo Afonso
 Ago ;23,5;25;89;0;25;64;0;Paulo Afonso
 Set ;24,9;18;108;0;18;90;0;Paulo Afonso
 Out ;26,4;15;139;0;15;124;0;Paulo Afonso
 Nov ;27,7;18;162;0;18;144;0;Paulo Afonso
 Dez ;27,3;47;162;0;47;115;0;Paulo Afonso
Jan ;26,5;111;142;66;135;7;0;Remanso
 Fev ;26,6;121;133;58;128;5;0;Remanso
 Mar ;26,7;145;147;57;146;1;0;Remanso
 Abr ;25,2;322;114;100;114;0;165;Remanso
 Mai ;25,2;325;116;100;116;0;209;Remanso
 Jun ;24,3;351;98;100;98;0;253;Remanso
 Jul ;23,6;204;91;100;91;0;113;Remanso
