"mes","temperatura","pluviometrico","evaPotencial","armazenHidrico","evaReal","defHidrica","excedHidrico","cidade","altHidrico","PETP"
"Ago",22.4,136,80,100,80,0,56,"Ilhéus",0,56
"Set",23.4,148,91,100,91,0,57,"Ilhéus",0,57
"Out",24.2,148,108,100,108,0,40,"Ilhéus",0,40
"Nov",24.8,149,116,100,116,0,33,"Ilhéus",0,33
"Dez",25.4,169,132,100,132,0,37,"Ilhéus",0,37
"Jan",23.8,110,107,21,107,0,0,"Irecê",3,3
"Fev",24,91,101,19,93,8,0,"Irecê",-2,-10
"Mar",23.8,101,107,18,102,5,0,"Irecê",-1,-6
"Abr",23.3,53,95,12,59,36,0,"Irecê",-6,-42
"Mai",22.4,12,86,6,18,68,0,"Irecê",-6,-74
"Jun",21.3,6,71,3,9,62,0,"Irecê",-3,-65
"Jul",21,3,70,1,4,66,0,"Irecê",-1,-67
"Ago",21.6,3,77,1,4,73,0,"Irecê",-1,-74
"Set",23.2,13,93,0,13,80,0,"Irecê",0,-80
"Out",24.4,39,113,0,39,74,0,"Irecê",0,-74
"Nov",24.4,90,113,0,90,23,0,"Irecê",0,-23
"Dez",24.1,132,114,18,114,0,0,"Irecê",18,18
"Jan",26,117,136,0,117,19,0,"Itaberaba",0,-19
"Fev",26.1,91,127,0,91,36,0,"Itaberaba",0,-36
"Mar",26,90,136,0,90,46,0,"Itaberaba",0,-46
"Abr",25.3,68,117,0,68,49,0,"Itaberaba",0,-49
"Mai",24.2,43,102,0,43,59,0,"Itaberaba",0,-59
"Jun",22.7,46,79,0,46,33,0,"Itaberaba",0,-33
"Jul",21.9,33,73,0,33,40,0,"Itaberaba",0,-40
"Ago",22.4,24,79,0,24,55,0,"Itaberaba",0,-55
"Set",23.4,21,91,0,21,70,0,"Itaberaba",0,-70
"Out",25.1,42,120,0,42,78,0,"Itaberaba",0,-78
"Nov",25.7,71,129,0,71,58,0,"Itaberaba",0,-58
"Dez",25.9,116,139,0,116,23,0,"Itaberaba",0,-23
"Jan",24.7,84,119,0,84,35,0,"Ituaçu",0,-35
"Fev",24.6,143,108,35,108,0,0,"Ituaçu",35,35
"Mar",24.6,92,117,27,100,17,0,"Ituaçu",-8,-25
"Abr",24.6,91,110,22,96,14,0,"Ituaçu",-5,-19
"Mai",23.2,54,93,15,61,32,0,"Ituaçu",-7,-39
"Jun",22.1,24,76,9,30,46,0,"Ituaçu",-6,-52
"Jul",21.3,16,71,5,20,51,0,"Ituaçu",-4,-55
"Ago",21.1,6,70,3,8,62,0,"Ituaçu",-2,-64
"Set",22.1,9,80,1,10,69,0,"Ituaçu",-1,-71
"Out",23.7,23,104,1,24,80,0,"Ituaçu",-1,-81
"Nov",24.4,85,113,0,85,28,0,"Ituaçu",0,-28
"Dez",24.9,81,126,0,81,45,0,"Ituaçu",0,-45
"Jan",22.3,94,98,55,139,-41,0,"Ituruçu",-45,-4
"Fev",22.3,89,90,55,90,0,0,"Ituruçu",-1,-1
"Mar",22.2,92,96,53,94,2,0,"Ituruçu",-2,-4
"Abr",21.5,76,84,49,80,4,0,"Ituruçu",-4,-8
"Mai",19.9,56,71,42,63,8,0,"Ituruçu",-7,-15
"Jun",19,62,60,44,60,0,0,"Ituruçu",2,2
"Jul",18.1,63,55,51,55,0,0,"Ituruçu",8,8
"Ago",18.7,41,61,42,50,11,0,"Ituruçu",-9,-20
"Set",19.5,33,66,30,45,21,0,"Ituruçu",-12,-33
"Out",20.6,66,80,26,70,10,0,"Ituruçu",-4,-14
"Nov",21.6,88,89,26,88,1,0,"Ituruçu",0,-1
"Dez",22.1,126,99,53,99,0,0,"Ituruçu",27,27
"Jan",25.4,99,127,0,99,28,0,"Jacobina",0,-28
"Fev",25.5,82,118,0,82,36,0,"Jacobina",0,-36
"Mar",25.6,120,130,0,120,10,0,"Jacobina",0,-10
"Abr",24.6,91,109,0,91,18,0,"Jacobina",0,-18
"Mai",23.3,48,93,0,48,45,0,"Jacobina",0,-45
"Jun",22.1,53,76,0,53,23,0,"Jacobina",0,-23
"Jul",21.2,41,69,0,41,28,0,"Jacobina",0,-28
"Ago",21.8,40,76,0,40,36,0,"Jacobina",0,-36
"Set",23.2,31,90,0,31,59,0,"Jacobina",0,-59
"Out",24.7,32,116,0,32,84,0,"Jacobina",0,-84
"Nov",25.3,86,123,0,86,37,0,"Jacobina",0,-37
"Dez",24.9,116,123,0,116,7,0,"Jacobina",0,-7
"Jan",24.8,156,120,100,120,0,36,"Lençóis",0,36
"Fev",25,151,113,100,113,0,38,"Lençóis",0,38
"Mar",25.1,160,124,100,124,0,36,"Lençóis",0,36
"Abr",24.1,150,103,100,103,0,47,"Lençóis",0,47
"Mai",22.9,78,90,89,89,1,0,"Lençóis",-11,-12
"Jun",21.6,82,72,99,72,0,0,"Lençóis",10,10
"Jul",20.9,65,68,96,67,0,0,"Lençóis",-2,-3
"Ago",21.7,46,76,71,71,5,0,"Lençóis",-25,-30
"Set",22.7,49,86,49,71,15,0,"Lençóis",-22,-37
"Out",23.8,96,105,45,100,5,0,"Lençóis",-4,-9
"Nov",24.3,156,111,90,111,0,0,"Lençóis",45,45
"Dez",24.4,172,118,100,118,0,44,"Lençóis",10,54
"Jan",25.7,37,132,0,37,96,0,"Monte Santo",0,-95
"Fev",24.3,45,105,0,45,60,0,"Monte Santo",0,-60
"Mar",24.2,64,113,0,64,48,0,"Monte Santo",0,-49
"Abr",23.3,69,96,0,69,27,0,"Monte Santo",0,-27
"Mai",21.5,74,78,0,74,5,0,"Monte Santo",0,-4
"Jun",20.4,57,65,0,57,8,0,"Monte Santo",0,-8
"Jul",19.8,42,62,0,42,19,0,"Monte Santo",0,-20
"Ago",20,37,64,0,37,28,0,"Monte Santo",0,-27
"Set",21.5,19,77,0,19,58,0,"Monte Santo",0,-58
"Out",23.2,27,100,0,27,73,0,"Monte Santo",0,-73
"Nov",24.2,49,111,0,49,61,0,"Monte Santo",0,-62
"Dez",24,78,114,0,78,36,0,"Monte Santo",0,-36
"Jan",21.1,93,89,68,89,0,0,"Morro do Chapéu",4,4
"Fev",21.2,86,82,71,82,0,0,"Morro do Chapéu",4,4
"Mar",21,93,88,77,88,0,0,"Morro do Chapéu",5,5
"Abr",20.6,68,79,69,76,3,0,"Morro do Chapéu",-8,-11
"Mai",19.2,33,69,48,54,15,0,"Morro do Chapéu",-21,-36
"Jun",17.8,39,56,40,46,9,0,"Morro do Chapéu",-7,-17
"Jul",17.2,27,53,31,36,17,0,"Morro do Chapéu",-9,-26
"Ago",17.5,21,56,22,30,26,0,"Morro do Chapéu",-9,-35
"Set",18.9,19,66,14,27,38,0,"Morro do Chapéu",-8,-47
"Out",20.2,43,80,9,47,33,0,"Morro do Chapéu",-4,-37
"Nov",20.7,88,84,14,84,0,0,"Morro do Chapéu",4,4
"Dez",20.9,139,89,63,89,0,0,"Morro do Chapéu",50,50
"Jan",27.4,61,159,0,61,98,0,"Paulo Afonso",0,-98
"Fev",27.2,55,143,0,55,88,0,"Paulo Afonso",0,-88
"Mar",27.1,93,154,0,93,61,0,"Paulo Afonso",0,-61
"Abr",25.5,81,118,0,81,37,0,"Paulo Afonso",0,-37
"Mai",24.2,55,99,0,55,44,0,"Paulo Afonso",0,-44
"Jun",23.6,61,87,0,61,26,0,"Paulo Afonso",0,-26
"Jul",23,53,82,0,53,29,0,"Paulo Afonso",0,-29
"Ago",23.5,25,89,0,25,64,0,"Paulo Afonso",0,-64
"Set",24.9,18,108,0,18,90,0,"Paulo Afonso",0,-90
"Out",26.4,15,139,0,15,124,0,"Paulo Afonso",0,-124
"Nov",27.7,18,162,0,18,144,0,"Paulo Afonso",0,-144
"Dez",27.3,47,162,0,47,115,0,"Paulo Afonso",0,-115
"Jan",26.5,111,142,66,135,7,0,"Remanso",-24,-31
"Fev",26.6,121,133,58,128,5,0,"Remanso",-7,-12
"Mar",26.7,145,147,57,146,1,0,"Remanso",-1,-2
"Abr",25.2,322,114,100,114,0,165,"Remanso",43,208
"Mai",25.2,325,116,100,116,0,209,"Remanso",0,209
"Jun",24.3,351,98,100,98,0,253,"Remanso",0,253
"Jul",23.6,204,91,100,91,0,113,"Remanso",0,113
"Ago",23.7,136,94,100,94,0,42,"Remanso",0,42
"Set",24.2,112,99,100,99,0,13,"Remanso",0,13
"Out",25,122,117,100,117,0,5,"Remanso",0,5
"Nov",25.5,118,123,95,123,0,0,"Remanso",-5,-5
"Dez",26,132,138,90,137,0,0,"Remanso",-5,-6
"Jan",26.5,111,145,62,136,9,0,"Salvador",-25,-34
"Fev",26.6,121,135,54,129,6,0,"Salvador",-8,-14
"Mar",26.7,145,147,53,146,1,0,"Salvador",-1,-2
"Abr",25.2,322,114,100,114,0,161,"Salvador",47,208
"Mai",25.2,325,114,100,114,0,211,"Salvador",0,211
"Jun",24.3,351,96,100,96,0,255,"Salvador",0,255
"Jul",23.6,204,90,100,90,0,114,"Salvador",0,114
"Ago",23.7,136,92,100,92,0,44,"Salvador",0,44
"Set",24.2,112,99,100,99,0,13,"Salvador",0,13
"Out",25,122,117,100,117,0,5,"Salvador",0,5
"Nov",25.5,118,124,94,124,0,0,"Salvador",-6,-6
"Dez",26,132,140,87,139,1,0,"Salvador",-7,-8
"Jan",24.6,161,115,100,115,0,39,"Santa Rita de Cássia",7,46
"Fev",24.4,140,104,100,104,0,36,"Santa Rita de Cássia",0,36
"Mar",24.4,155,112,100,112,0,43,"Santa Rita de Cássia",0,43
"Abr",24.2,101,103,98,103,0,0,"Santa Rita de Cássia",-2,-2
"Mai",23.7,20,98,45,73,25,0,"Santa Rita de Cássia",-53,-78
"Jun",22.1,4,75,22,27,48,0,"Santa Rita de Cássia",-23,-71
"Jul",21.1,1,68,11,12,56,0,"Santa Rita de Cássia",-11,-67
"Ago",23,1,89,5,8,81,0,"Santa Rita de Cássia",-7,-88
"Set",25.1,19,114,2,22,92,0,"Santa Rita de Cássia",-3,-95
"Out",26.1,70,136,1,71,65,0,"Santa Rita de Cássia",-1,-66
"Nov",25.3,160,123,38,123,0,0,"Santa Rita de Cássia",37,37
"Dez",24.7,175,120,93,120,0,0,"Santa Rita de Cássia",55,55
"Jan",24.9,102,120,0,102,18,0,"Senhor do Bonfim",0,-18
"Fev",24.6,118,107,11,107,0,0,"Senhor do Bonfim",11,11
"Mar",24.7,109,118,10,110,8,0,"Senhor do Bonfim",-1,-9
"Abr",23.7,96,99,10,96,2,0,"Senhor do Bonfim",0,-3
"Mai",23.1,64,93,8,66,26,0,"Senhor do Bonfim",-2,-29
"Jun",21.5,63,72,7,64,8,0,"Senhor do Bonfim",-1,-9
"Jul",20.7,54,66,6,55,11,0,"Senhor do Bonfim",-1,-12
"Ago",21.5,34,75,4,36,39,0,"Senhor do Bonfim",-2,-41
"Set",22.6,34,85,2,36,50,0,"Senhor do Bonfim",-2,-51
"Out",24.2,39,110,1,40,70,0,"Senhor do Bonfim",-1,-71
"Nov",25.1,54,121,1,55,66,0,"Senhor do Bonfim",-1,-67
"Dez",25.2,83,128,0,83,45,0,"Senhor do Bonfim",0,-45
"Jan",25.4,82,128,5,85,43,0,"Serrinha",-3,-46
"Fev",25.3,80,116,3,81,35,0,"Serrinha",-1,-36
"Mar",25.1,103,123,3,104,20,0,"Serrinha",-1,-20
"Abr",24.3,84,106,2,85,21,0,"Serrinha",-1,-22
"Mai",23.1,109,92,19,92,0,0,"Serrinha",17,17
"Jun",21.8,95,74,41,74,0,0,"Serrinha",21,21
"Jul",21,80,68,53,68,0,0,"Serrinha",12,12
"Ago",21.2,55,71,45,63,8,0,"Serrinha",-8,-16
"Set",22.3,38,82,29,54,28,0,"Serrinha",-16,-44
"Out",23.8,50,104,17,62,42,0,"Serrinha",-12,-54
"Nov",24.8,65,117,10,72,45,0,"Serrinha",-7,-52
"Dez",25.3,102,130,8,104,26,0,"Serrinha",-2,-28
"Jan",21.5,109,93,90,93,0,0,"Vitória da Conquista",16,16
"Fev",21.5,64,85,73,81,4,0,"Vitória da Conquista",-17,-21
"Mar",21.8,87,94,68,92,2,0,"Vitória da Conquista",-5,-7
"Abr",20.7,58,78,56,70,8,0,"Vitória da Conquista",-12,-20
"Mai",19.8,19,71,33,41,29,0,"Vitória da Conquista",-22,-52
"Jun",18,21,54,24,30,24,0,"Vitória da Conquista",-9,-33
"Jul",17.8,18,54,17,25,29,0,"Vitória da Conquista",-7,-36
"Ago",18.6,18,61,11,24,37,0,"Vitória da Conquista",-6,-43
"Set",19.5,30,68,7,33,34,0,"Vitória da Conquista",-3,-38
"Out",20.7,56,83,6,58,25,0,"Vitória da Conquista",-2,-27
"Nov",21.2,124,87,42,87,0,0,"Vitória da Conquista",37,37
"Dez",21.6,128,96,74,96,0,0,"Vitória da Conquista",32,32
